Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Page_Checkout/select_metode_pembayaran""), ""transfer_bank"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:42:30,03-05-2026 16:42:31,0.908s,PASSED
"setText(findTestObject(""Page_Checkout/textarea_catatan""), ""Tolong packing bubble wrap"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:31,03-05-2026 16:42:32,0.734s,PASSED
"click(findTestObject(""Page_Checkout/btn_checkout""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:32,03-05-2026 16:42:33,1.433s,PASSED
delay(3),Chrome 147.0.7727.138,,,03-05-2026 16:42:33,03-05-2026 16:42:36,3.007s,PASSED
"verifyMatch(getUrl(), "".*riwayat.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:42:36,03-05-2026 16:42:36,0.010s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:42:36,03-05-2026 16:42:37,0.244s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_009_Checkout_Tanpa_Login,Chrome 147.0.7727.138,,,03-05-2026 16:42:37,03-05-2026 16:42:43,6.871s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:42:37,03-05-2026 16:42:38,1.493s,PASSED
"navigateToUrl(baseUrl + ""/checkout.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:38,03-05-2026 16:42:41,3.078s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:42:41,03-05-2026 16:42:41,0.047s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:41,03-05-2026 16:42:43,2.014s,PASSED
"verifyMatch(getUrl(), "".*login.php.*"", true)",Chrome 147.0.7727.138,,,03-05-2026 16:42:43,03-05-2026 16:42:43,0.013s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,03-05-2026 16:42:43,03-05-2026 16:42:43,0.181s,PASSED
,,,,,,,
Test Cases/TC_Checkout/TC_CHK_010_Checkout_Multiple_Produk,Chrome 147.0.7727.138,,,03-05-2026 16:42:43,03-05-2026 16:43:09,25.960s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,03-05-2026 16:42:43,03-05-2026 16:42:45,1.406s,PASSED
"navigateToUrl(baseUrl + ""/login.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:45,03-05-2026 16:42:48,3.034s,PASSED
maximizeWindow(),Chrome 147.0.7727.138,,,03-05-2026 16:42:48,03-05-2026 16:42:48,0.043s,PASSED
"setText(findTestObject(""Page_Login/input_email""), validEmail)",Chrome 147.0.7727.138,,,03-05-2026 16:42:48,03-05-2026 16:42:49,0.811s,PASSED
"setText(findTestObject(""Page_Login/input_password""), validPassword)",Chrome 147.0.7727.138,,,03-05-2026 16:42:49,03-05-2026 16:42:50,0.730s,PASSED
"click(findTestObject(""Page_Login/btn_login""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:50,03-05-2026 16:42:51,1.574s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:51,03-05-2026 16:42:53,2.017s,PASSED
"executeJavaScript(""localStorage.removeItem('sqa_cart')"", null)",Chrome 147.0.7727.138,,,03-05-2026 16:42:53,03-05-2026 16:42:53,0.009s,PASSED
"navigateToUrl(baseUrl + ""/index.php"")",Chrome 147.0.7727.138,,,03-05-2026 16:42:53,03-05-2026 16:42:54,0.393s,PASSED
delay(2),Chrome 147.0.7727.138,,,03-05-2026 16:42:54,03-05-2026 16:42:56,2.016s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_1""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:56,03-05-2026 16:42:56,0.405s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:56,03-05-2026 16:42:57,1.003s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_2""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:57,03-05-2026 16:42:57,0.388s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:57,03-05-2026 16:42:58,1.015s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_2""))",Chrome 147.0.7727.138,,,03-05-2026 16:42:58,03-05-2026 16:42:59,0.349s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:42:59,03-05-2026 16:43:00,1.017s,PASSED
"click(findTestObject(""Page_Beranda/btn_add_cart_5""))",Chrome 147.0.7727.138,,,03-05-2026 16:43:00,03-05-2026 16:43:00,0.362s,PASSED
delay(1),Chrome 147.0.7727.138,,,03-05-2026 16:43:00,03-05-2026 16:43:01,1.004s,PASSED
